id,company_name,company_logo,tags,Description,user_id,No_of_Assignments,No_of_Openings,if_updated,location,remote
11,Eversend,https://i.ibb.co/db4Ch98/Eversend.png,"{Fintech,Neobank,""Financial Services"",""Cross border payments""}","Eversend was founded in 2017 to handle digital currency exchange and other multi-currency wallets. They intend to offer loan services, merchant payments, group savings, and other future financial investments. Branded as Africa’s first neobank, its platform aims to remove the need for having multiple apps on your phone by replacing them with a one-does-all solution. Eversend provides users with cross border money transfers among other financial services.",2,1,0,t,"{Kampala-Uganda,Berlin-Germany,Paris-France}",f
12,Hoozing,https://i.ibb.co/N6Y2J6f/Hoozing.jpg,"{""House Rentals""}","Hoozing is an online marketplace for searching and renting long term accommodations aiming at making house renting accessible, hassle-free and trustful for everyone. Our business model connects people and builds a “community of renters"", where all the listings are acquired from current tenants who are about to move out. People who search for a house would get the chance to talk to them and receive many insider tips about the house and its neighbourhood.",2,1,0,t,"{""Ho Chi Minh-Vietnam""}",f
14,Shuga,https://i.ibb.co/DgVy1m8/Shuga.png,"{Rewards,""Offline Retail"",""Sales Growth"",""Consumer Engagement""}","Shuga is the next hot retail solution that combines a consumer rewards program with offline retail insights to help brick & mortar businesses drive sales.                                                                        

We increase exposure for merchants by making their stores easily discoverable through our map view and store listing pages in-app. All partner stores are installed with Bluetooth beacons that sprinkle Shuga points with monetary value. Upon physical engagement with stores, Shuga users will have points credited into their Shuga wallet. No purchase is even required!",2,1,0,t,"{""Singapore, SG"",Taipei-Taiwan}",f
4,Finin,https://i.ibb.co/grbHJsP/Finin.png,"{Fintech,""Artificial Intelligence"",Neobank,""Financial Services""}","Finin is an AI-fueled neobank that makes understanding money simple by digitizing all banking services. It also offers card aggregations and AI-based notifications to keep users up-to-date about their previous and future transactions.

At Finin, We believe that everyone deserves a simpler, low-stress relationship with their money. Our mission is to make you feel more comfortable talking about, managing, and transacting with your money. With Easy Savings, Unified Account View and Automated Money Management, Finin is the Future of Banking.",2,1,1,t,{Bangalore-India},f
3,StyleDotMe,https://i.ibb.co/vDvz2Mj/Style-Dot-Me.png,"{""Augmented Reality"",""Software as a Service"",E-Commerce}","StyleDotMe is an Augmented Reality(AR) SaaS company. Our platform MirrAR  is the world’s  most advanced Augmented Reality Technology for jewellers. It’s a platform where people can try-on jewellery without having to wear it in real-time . It not only provides customers with a great experience, it also provides jewellers with actionable insights to optimise their entire value chain across design, manufacturing, operations, marketing and sales.",2,1,0,t,{Gurugram-India},f
5,Zopnik,https://i.ibb.co/gTWR1CG/zopnik.png,"{E-Commerce,""Social Commerce""}","Zopnik is a technology platform that enables an Indian woman to host popup shows at home and earn money by inviting friends from her social circle. The platform solves for the supply problem by connecting her to local brands and boutiques. As an alternate to traditional retail and e-commerce, Zopnik has an asset light and highly scalable O2O model which will enable women to try the products before taking a conscious buying decision.",2,1,0,t,"{""New Delhi"",India}",f
6,Walrus,https://i.ibb.co/JdTcrVh/Walrus.png,"{Neobank,Fintech,Payments,""Teenagers wallet"",""Financial Education""}","Walrus is developing banking for teenagers which enables parents to teach their kids good financial habits and gives children the power to make digital payments, savings and small investments. Walrus provides bank account for kids to make them more independent while giving parents the ability to teach them valuable financial lessons.",2,1,0,t,{Bangalore-India},f
7,PumPumPum,https://i.ibb.co/k6mrSyn/pumpumpum.png,"{""Car as a Service"",""Car Subscription""}","PumPumPum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates. User can select a car from a pool of certified pre-owned cars, without worrying about the down payment, quality, condition & price of the car. It's a new way forward ""CAR AS A SERVICE""​ ensuring flexibility, affordability & zero liability.",2,1,0,t,"{Gurgaon,India}",f
9,Mastree,https://i.ibb.co/SwVsZq3/Mastree.jpg,"{Edtech,E-learning,""Live classes""}","Mastree is building a one-stop subscription product for STEAM (Science, Technology, Engineering, Arts, and Mathematics) courses, for classes 5 to 8, which will include live classes in small groups for mathematics, science, public speaking, creative writing, Vedic mathematics, and others. We believe in providing foundational excellence through the ‘Mastery Way of Learning’ across the entire ecosystem of students, parents, and teachers. Our vision is to enable every child to realize & reach their learning potential.",2,1,3,t,{Bangalore-India},f
8,Editorji,https://i.ibb.co/sp46pTm/Editorji.png,"{""Artificial Intelligence"",""Online Media"",""Machine Learning"",News}","Editorji is a digital news player, primarily in current affairs news content. Editorji uses artificial intelligence (AI) and machine learning (ML) to learn user tastes and preferences, and suggest a playlist of news videos tailored to their interests. The Editorji algorithm pulls short-form video stories from partners and its own inventory to give a user complete information based both on what is important and what their preferences are.",2,1,1,t,"{""New Delhi"",India}",f
